earliest_filing_year,ctry_code,cpc_green,count
2014,QA,Other,20.83455433455433455473
2015,QA,Other,24.06432109557109557104
2016,QA,Other,33.55605439881755671249
2017,QA,Other,33.19629629629629629642
2018,QA,Other,14.08333333333333333345
2009,QQ,Other,1.00000000000000000000
2011,QQ,Other,0.35714285714285714285
2015,QQ,Other,0.49999999999999999999
2017,QQ,Other,0.50000000000000000006
1960,RE,Other,2.00000000000000000000
1974,RE,Other,0.50000000000000000000
1988,RE,Other,0.50000000000000000000
1989,RE,Other,0.50000000000000000000
1994,RE,Other,1.50000000000000000000
2001,RE,Other,1.33333333333333333333
2005,RE,Other,0.66666666666666666669
2007,RE,Other,0.50000000000000000000
2008,RE,Other,0.50000000000000000001
2009,RE,Other,0.50000000000000000001
2011,RE,Other,0.50000000000000000000
2014,RE,Other,1.18518518518518518520
2015,RE,Other,4.00000000000000000000
2016,RE,Other,14.50000000000000000007
2017,RE,Other,8.50000000000000000011
2018,RE,Other,6.33333333333333333335
2018,RF,Other,0.50000000000000000005
1953,RH,Other,1.00000000000000000000
1956,RH,Other,1.00000000000000000000
1961,RH,Other,1.50000000000000000000
1974,RH,Other,0.25000000000000000003
1979,RH,Other,1.19999999999999999998
1980,RH,Other,2.50000000000000000000
1982,RH,Other,0.50000000000000000001
2003,RH,Other,1.00000000000000000000
1890,RO,Other,2.00000000000000000000
1891,RO,Other,1.00000000000000000000
1893,RO,Other,1.00000000000000000000
1894,RO,Other,1.00000000000000000000
1895,RO,Other,1.00000000000000000000
1896,RO,Other,1.00000000000000000000
1897,RO,Other,0.50000000000000000000
1898,RO,Other,3.00000000000000000000
1899,RO,Other,1.00000000000000000000
1900,RO,Other,3.00000000000000000000
1901,RO,Other,1.00000000000000000000
1902,RO,Other,0.50000000000000000001
1903,RO,Other,6.00000000000000000000
1904,RO,Other,6.50000000000000000000
1905,RO,Other,11.50000000000000000000
1906,RO,Other,6.00000000000000000000
1907,RO,Other,19.50000000000000000000
1908,RO,Other,8.50000000000000000000
1909,RO,Other,10.00000000000000000000
1910,RO,Other,15.50000000000000000000
1911,RO,Other,12.99999999999999999998
1912,RO,Other,13.50000000000000000000
1913,RO,Other,11.50000000000000000000
1914,RO,Other,3.50000000000000000000
1915,RO,Other,1.00000000000000000000
